{'x': 6.80827166888202, 'y': -7.725855456113644, 'theta': 97.95726727286939}
{'x': 6.798880764920286, 'y': -7.654635186069915, 'theta': 98.0529717998174}
{'x': 6.793759825997988, 'y': -7.618074303969787, 'theta': 98.11524807872635}
{'x': 6.791881190641407, 'y': -7.580526846161037, 'theta': 97.97131916973298}
{'x': 6.789489667350308, 'y': -7.542497364787813, 'theta': 97.8652927792719}
{'x': 6.789489667350308, 'y': -7.542497364787813, 'theta': 97.8652927792719}
{'x': 6.779741643121806, 'y': -7.465474896082258, 'theta': 97.96402127038044}
{'x': 6.774337245450321, 'y': -7.426163322060166, 'theta': 98.04286046297238}
{'x': 6.765792019813253, 'y': -7.389804253224397, 'theta': 98.3765749949111}
{'x': 6.765792019813253, 'y': -7.389804253224397, 'theta': 98.3765749949111}
{'x': 6.753903697066346, 'y': -7.308101367813613, 'theta': 98.60077805657036}
{'x': 6.753903697066346, 'y': -7.308101367813613, 'theta': 98.60077805657036}
{'x': 6.74827541340268, 'y': -7.22405021659032, 'theta': 98.66041557365143}
{'x': 6.74827541340268, 'y': -7.22405021659032, 'theta': 98.66041557365143}
{'x': 6.743661788655337, 'y': -7.181273665109294, 'theta': 98.73193352055803}
{'x': 6.73714138868149, 'y': -7.138019554323709, 'theta': 98.84694842897824}
{'x': 6.728262086710474, 'y': -7.099357076172119, 'theta': 99.41469540336465}
{'x': 6.7204855923359, 'y': -7.056680737544616, 'theta': 99.63918088925213}
{'x': 6.711071743673048, 'y': -6.96934243984167, 'theta': 99.6610478932009}
{'x': 6.711071743673048, 'y': -6.96934243984167, 'theta': 99.6610478932009}
{'x': 6.678269003595107, 'y': -6.793615565579003, 'theta': 100.31566502187998}
{'x': 6.678269003595107, 'y': -6.793615565579003, 'theta': 100.31566502187998}
{'x': 6.670121250085731, 'y': -6.7479335333021035, 'theta': 100.41421669063567}
{'x': 6.665915148004306, 'y': -6.702557709452444, 'theta': 100.42360333285103}
{'x': 6.650231172143377, 'y': -6.6102051495288014, 'theta': 100.6054331662635}
{'x': 6.650231172143377, 'y': -6.6102051495288014, 'theta': 100.6054331662635}
{'x': 6.642982249144867, 'y': -6.564144956385346, 'theta': 100.61421108230351}
{'x': 6.626089698087364, 'y': -6.470773442674442, 'theta': 100.78720440274736}
{'x': 6.616909405479772, 'y': -6.422691311479673, 'theta': 100.96216036962231}
