{'x': 4.447954204247427, 'y': 4.129055196624089, 'theta': 2.1594208551447784}
{'x': 4.447869358933884, 'y': 4.129022378199991, 'theta': 0.08767429267569879}
{'x': 4.44784847808808, 'y': 4.129009343753339, 'theta': -1.0445858329467583}
{'x': 4.447817906888789, 'y': 4.128998890053673, 'theta': -2.2379259861925487}
{'x': 4.447879351453783, 'y': 4.128986740127518, 'theta': -3.4985944554702035}
{'x': 4.447900345022294, 'y': 4.128987141324455, 'theta': -4.822395845105126}
{'x': 4.447849637308352, 'y': 4.129005086813052, 'theta': -6.209830782761414}
{'x': 4.447849637308352, 'y': 4.129005086813052, 'theta': -6.209830782761414}
{'x': 4.447760182996484, 'y': 4.129027847545403, 'theta': -9.17707863258383}
{'x': 4.447664380497372, 'y': 4.129047687061142, 'theta': -10.763123874123048}
{'x': 4.447438122189169, 'y': 4.129093626164268, 'theta': -12.408601376350015}
{'x': 4.447203154206896, 'y': 4.129155423951259, 'theta': -14.114322737571992}
{'x': 4.446983729458436, 'y': 4.129226248259057, 'theta': -15.860444643834798}
{'x': 4.446899606730755, 'y': 4.129258269623492, 'theta': -17.638761280317777}
{'x': 4.446865656401359, 'y': 4.1292668428166035, 'theta': -19.432291943861372}
{'x': 4.446860123880612, 'y': 4.129271534616439, 'theta': -21.229331369995705}
{'x': 4.4468515343652, 'y': 4.12927519784801, 'theta': -23.016709012073925}
{'x': 4.446838611488662, 'y': 4.129273145054398, 'theta': -24.788926768895756}
{'x': 4.446838611488662, 'y': 4.129273145054398, 'theta': -24.788926768895756}
{'x': 4.435577944180947, 'y': 4.130695567311474, 'theta': -28.065898239201562}
{'x': 4.4356143119482665, 'y': 4.130688831294264, 'theta': -29.74515094640776}
{'x': 4.43591886990321, 'y': 4.1305017925575855, 'theta': -45.52347915001873}
{'x': 4.43591886990321, 'y': 4.1305017925575855, 'theta': -45.52347915001873}
{'x': 4.422592349493602, 'y': 4.141976821849976, 'theta': -48.84279364709556}
{'x': 4.42261379242173, 'y': 4.141942745022135, 'theta': -49.95917396987232}
{'x': 4.422608869750915, 'y': 4.141932425364608, 'theta': -51.03773093253647}
{'x': 4.422608869750915, 'y': 4.141932425364608, 'theta': -51.03773093253647}
{'x': 4.422634663089209, 'y': 4.141898017789253, 'theta': -53.07438381379475}
{'x': 4.422634663089209, 'y': 4.141898017789253, 'theta': -53.07438381379475}
{'x': 4.423022005888911, 'y': 4.141346578411155, 'theta': -55.13602791486544}
{'x': 4.423512632645471, 'y': 4.140629507373857, 'theta': -56.14176195080617}
{'x': 4.4244790017140545, 'y': 4.139224197070064, 'theta': -57.03452219771011}
{'x': 4.4257177091996205, 'y': 4.137528580747995, 'theta': -57.828628472890415}
{'x': 4.420522758064929, 'y': 4.133009157773988, 'theta': -58.49273297548007}
{'x': 4.4121738336573735, 'y': 4.126875918680293, 'theta': -59.05545004837191}
{'x': 4.4121738336573735, 'y': 4.126875918680293, 'theta': -59.05545004837191}
{'x': 4.416616267412235, 'y': 4.119702505153569, 'theta': -60.00719551461969}
{'x': 4.416616267412235, 'y': 4.119702505153569, 'theta': -60.00719551461969}
{'x': 4.419279787708719, 'y': 4.115180183012077, 'theta': -60.38099987068378}
{'x': 4.425520220276416, 'y': 4.104228673322378, 'theta': -60.986320826535405}
{'x': 4.4290862967577, 'y': 4.097835921756922, 'theta': -61.234935093017846}
{'x': 4.432895023666829, 'y': 4.090929253950653, 'theta': -61.46369602046006}
{'x': 4.432895023666829, 'y': 4.090929253950653, 'theta': -61.46369602046006}
{'x': 4.436929795144671, 'y': 4.083552689751329, 'theta': -61.67384773792742}
{'x': 4.441230457036434, 'y': 4.075627964329643, 'theta': -61.87641767531284}
{'x': 4.450697086422711, 'y': 4.057991598533215, 'theta': -62.25231933234011}
{'x': 4.455836246378472, 'y': 4.0483562764432435, 'theta': -62.42786879144242}
{'x': 4.455836246378472, 'y': 4.0483562764432435, 'theta': -62.42786879144242}
{'x': 4.468161989925086, 'y': 4.032500163741771, 'theta': -62.55169251815215}
{'x': 4.476025263131298, 'y': 4.0288444360107, 'theta': -62.40921967325086}
{'x': 4.482030532028629, 'y': 4.017527085082846, 'theta': -62.56579946755293}
{'x': 4.534652580485657, 'y': 3.914604986439247, 'theta': -63.73137914888881}
{'x': 4.5416078605843, 'y': 3.9006020476897203, 'theta': -63.85535054484415}
{'x': 4.548723274075526, 'y': 3.886208016842886, 'theta': -63.96143685146148}
{'x': 4.555946427448867, 'y': 3.871536249434059, 'theta': -64.05254919229948}
{'x': 4.563143530615566, 'y': 3.8568500417478613, 'theta': -64.14494531331714}
{'x': 4.57036411761747, 'y': 3.8420473885444344, 'theta': -64.23594261782321}
{'x': 4.577665622075264, 'y': 3.827020467544941, 'theta': -64.3224919743896}
{'x': 4.585028848028015, 'y': 3.811808576149916, 'theta': -64.40382259299805}
{'x': 4.592191493603206, 'y': 3.7969723828964743, 'theta': -64.49317891172517}
{'x': 4.591582926827982, 'y': 3.7865402443190987, 'theta': -64.36794800463416}
{'x': 4.596461398792021, 'y': 3.7756842427968635, 'theta': -64.50085414275954}
{'x': 4.600090631457059, 'y': 3.767210773895486, 'theta': -64.6374679511769}
{'x': 4.602323130040789, 'y': 3.761199444110761, 'theta': -64.78268534686075}
{'x': 4.603490059787491, 'y': 3.7574953111084577, 'theta': -64.95744907200256}
{'x': 4.6039013142169996, 'y': 3.7557574133365135, 'theta': -65.18085732571929}
{'x': 4.603951307696001, 'y': 3.755136159618922, 'theta': -65.45106499198046}
{'x': 4.6038483778870285, 'y': 3.7551171889084616, 'theta': -65.77595307842653}
{'x': 4.603834746768847, 'y': 3.758615166422216, 'theta': -66.20857462806894}
{'x': 4.603877335429805, 'y': 3.7638673518064274, 'theta': -66.7324367949617}
{'x': 4.60379714527282, 'y': 3.7640783705227725, 'theta': -67.22042591187895}
{'x': 4.603757513909351, 'y': 3.7641998498329063, 'theta': -67.75892477829089}
{'x': 4.603752437138013, 'y': 3.764223876391426, 'theta': -68.34140456972744}
{'x': 4.604059924130663, 'y': 3.763434564661281, 'theta': -68.91269658451296}
{'x': 4.604728884569329, 'y': 3.761715261705701, 'theta': -69.44334942590055}
{'x': 4.610527244531605, 'y': 3.7607603339673403, 'theta': -70.03987339741927}
{'x': 4.618965808992386, 'y': 3.759921893841129, 'theta': -70.66846153209106}
{'x': 4.620594122918375, 'y': 3.755446562241691, 'theta': -71.17805803280365}
{'x': 4.622454948293399, 'y': 3.7501655816125274, 'theta': -71.70749188642282}
{'x': 4.624554198881237, 'y': 3.7440210719003724, 'theta': -72.26733163721043}
{'x': 4.626821966960817, 'y': 3.7372006930977553, 'theta': -72.86084200343012}
{'x': 4.656967312842132, 'y': 3.67284475996771, 'theta': -79.22617516722754}
{'x': 4.662050858606738, 'y': 3.647513028718102, 'theta': -81.11138781752918}
{'x': 4.664388589304786, 'y': 3.6341183071870042, 'theta': -82.10066405801443}
{'x': 4.666589009292009, 'y': 3.6202105860159643, 'theta': -83.12051319885457}
{'x': 4.668586037707254, 'y': 3.6058217061722293, 'theta': -84.15809071840427}
{'x': 4.668586037707254, 'y': 3.6058217061722293, 'theta': -84.15809071840427}
{'x': 4.671959253132619, 'y': 3.575760153098646, 'theta': -86.27854691271985}
{'x': 4.673281567180828, 'y': 3.5600980441341368, 'theta': -87.35281914090494}
{'x': 4.6743310534931, 'y': 3.5440854559496455, 'theta': -88.42465229072089}
{'x': 4.6743310534931, 'y': 3.5440854559496455, 'theta': -88.42465229072089}
{'x': 4.675650652634151, 'y': 3.5111603036506875, 'theta': -90.54242535795525}
{'x': 4.675650652634151, 'y': 3.5111603036506875, 'theta': -90.54242535795525}
{'x': 4.675870825986581, 'y': 3.4769674118651355, 'theta': -92.57072757160144}
{'x': 4.675870825986581, 'y': 3.4769674118651355, 'theta': -92.57072757160144}
{'x': 4.675048025366115, 'y': 3.441924381888025, 'theta': -94.47204388897501}
{'x': 4.675048025366115, 'y': 3.441924381888025, 'theta': -94.47204388897501}
{'x': 4.6731884945947435, 'y': 3.4070260675022, 'theta': -96.27286009163895}
{'x': 4.671800992665702, 'y': 3.389914613890545, 'theta': -97.14447941868131}
{'x': 4.671800992665702, 'y': 3.389914613890545, 'theta': -97.14447941868131}
{'x': 4.6801706278773105, 'y': 3.35646572005464, 'theta': -98.56660029922179}
{'x': 4.6801706278773105, 'y': 3.35646572005464, 'theta': -98.56660029922179}
{'x': 4.675962614865828, 'y': 3.3238586158033465, 'theta': -100.09474478370751}
{'x': 4.673379470448779, 'y': 3.3071979998917405, 'theta': -100.73052721773642}
{'x': 4.670497405451757, 'y': 3.2903899663938008, 'theta': -101.27448601899086}
{'x': 4.667390736770503, 'y': 3.273350724653512, 'theta': -101.75783455816453}
{'x': 4.664142625157938, 'y': 3.2562537784209855, 'theta': -102.18165727328486}
{'x': 4.662757203464662, 'y': 3.2411728827711768, 'theta': -102.34947033309949}
{'x': 4.6623826291850365, 'y': 3.2267151428153307, 'theta': -102.35029350810319}
{'x': 4.658758467110001, 'y': 3.2088593678459683, 'theta': -102.55841693166393}
{'x': 4.654994071017214, 'y': 3.190806137789579, 'theta': -102.69716878777051}
{'x': 4.619576800937599, 'y': 3.0210220616548837, 'theta': -99.98167861324983}
{'x': 4.615835925741894, 'y': 3.0010960998111784, 'theta': -99.30497002042316}
{'x': 4.607480317152145, 'y': 2.9849873143041825, 'theta': -98.77548034934956}
{'x': 4.602837365797752, 'y': 2.965977046005677, 'theta': -98.01372195867181}
{'x': 4.5997072730299, 'y': 2.9461748799924314, 'theta': -97.11847481272369}
{'x': 4.596834510124365, 'y': 2.926260236511149, 'theta': -96.16034050189646}
{'x': 4.594340236672878, 'y': 2.9063581630549185, 'theta': -95.14408431527673}
{'x': 4.592129621484165, 'y': 2.886400800261888, 'theta': -94.08488065285209}
{'x': 4.591049286339239, 'y': 2.867311518969402, 'theta': -93.03630371028102}
{'x': 4.591049286339239, 'y': 2.867311518969402, 'theta': -93.03630371028102}
{'x': 4.590610976775098, 'y': 2.8298967362693452, 'theta': -90.89748019673766}
{'x': 4.589815758728879, 'y': 2.8100312612034313, 'theta': -89.72097348819055}
{'x': 4.589430882130568, 'y': 2.7902226903475214, 'theta': -88.53447376165956}
{'x': 4.589430882130568, 'y': 2.7902226903475214, 'theta': -88.53447376165956}
{'x': 4.589690669645371, 'y': 2.7505933920774006, 'theta': -86.172942339303}
{'x': 4.590767409826141, 'y': 2.730672568288726, 'theta': -84.96801959245265}
{'x': 4.592884010223195, 'y': 2.711107425364366, 'theta': -83.75416920008004}
{'x': 4.592884010223195, 'y': 2.711107425364366, 'theta': -83.75416920008004}
{'x': 4.5944708145465984, 'y': 2.6921022727146386, 'theta': -82.6874978467182}
{'x': 4.596256875054669, 'y': 2.6731622289344643, 'theta': -81.68789025855932}
{'x': 4.6008633570600965, 'y': 2.6354075561953105, 'theta': -79.79256276804826}
{'x': 4.608478618585343, 'y': 2.6103000521711026, 'theta': -78.86348747962207}
{'x': 4.615257133559378, 'y': 2.5867142449328715, 'theta': -77.9828300415426}
{'x': 4.618817899535062, 'y': 2.5677445109941743, 'theta': -77.18236415128789}
{'x': 4.622578905664154, 'y': 2.548965735632955, 'theta': -76.42498202037153}
{'x': 4.626642271766595, 'y': 2.5301328826987985, 'theta': -75.71482457202855}
{'x': 4.626642271766595, 'y': 2.5301328826987985, 'theta': -75.71482457202855}
{'x': 4.634844012747753, 'y': 2.4984145860248814, 'theta': -74.73144219334567}
{'x': 4.639356448798061, 'y': 2.4805625421128594, 'theta': -74.21501423036058}
{'x': 4.644187650463124, 'y': 2.4617775251094667, 'theta': -73.71193668136256}
{'x': 4.673102952583632, 'y': 2.346422744292779, 'theta': -72.1429418748959}
{'x': 4.678924783208362, 'y': 2.327600100802389, 'theta': -72.00035411966233}
{'x': 4.684845322805121, 'y': 2.3088064414659346, 'theta': -71.91173450232125}
